[DEBUG] 2020-05-02 17:12:12.541 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-02 17:12:12.548 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-02 17:12:12.553 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-02 17:12:12.609 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-02 17:12:12.610 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-02 17:12:12.792 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-02 17:12:12.793 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-02 17:12:12.797 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-02 17:12:13.100 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-02 17:12:13.118 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-02 17:12:13.118 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-02 17:12:13.133 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-02 17:12:13.158 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7bc6d27a
[DEBUG] 2020-05-02 17:12:13.158 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7bc6d27a
[DEBUG] 2020-05-02 17:12:13.158 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7bc6d27a
[DEBUG] 2020-05-02 17:12:13.159 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@27ace0b1
[DEBUG] 2020-05-02 17:12:13.159 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4c59e45e
[DEBUG] 2020-05-02 17:12:13.160 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6dd82486
[DEBUG] 2020-05-02 17:12:13.161 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@62a4417
[DEBUG] 2020-05-02 17:12:13.161 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@62a4417
[DEBUG] 2020-05-02 17:12:13.161 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@62a4417
[DEBUG] 2020-05-02 17:12:13.162 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3e5d4f6b
[DEBUG] 2020-05-02 17:12:13.162 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3e5d4f6b
[DEBUG] 2020-05-02 17:12:13.162 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3e5d4f6b
[DEBUG] 2020-05-02 17:12:13.163 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3ae0b770
[DEBUG] 2020-05-02 17:12:13.163 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3ae0b770
[DEBUG] 2020-05-02 17:12:13.163 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3ae0b770
[DEBUG] 2020-05-02 17:12:13.164 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@36ddaebf
[DEBUG] 2020-05-02 17:12:13.164 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@36ddaebf
[DEBUG] 2020-05-02 17:12:13.164 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@36ddaebf
[DEBUG] 2020-05-02 17:12:13.165 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4bbb49b0
[DEBUG] 2020-05-02 17:12:13.166 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4bbb49b0
